Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP
26,SAS,Nikola Milutinov,,,,,,,,,,,,,,,,,,
27,LAL,Larry Nance Jr.,University of Wyoming,4,244,5486,1840,1552,380,0.54,0.286,0.692,22.5,7.5,6.4,1.6,15.2,0.133,2,5.5
28,BOS,R.J. Hunter,Georgia State University,3,44,369,116,43,16,0.361,0.282,0.889,8.4,2.6,1,0.4,0.3,0.039,-3.8,-0.2
29,BRK,Chris McCullough,Syracuse University,3,59,532,194,112,15,0.426,0.306,0.548,9,3.3,1.9,0.3,0.6,0.054,-2.3,0
30,GSW,Kevon Looney,"University of California, Los Angeles",4,186,2611,798,700,177,0.583,0.192,0.594,14,4.3,3.8,1,8.9,0.164,2,2.6
31,MIN,Cedi Osman,,2,117,2435,972,384,174,0.449,0.355,0.717,20.8,8.3,3.3,1.5,2.1,0.041,-2.3,-0.2
32,HOU,Montrezl Harrell,University of Louisville,4,236,4390,2527,1002,270,0.637,0.115,0.621,18.6,10.7,4.2,1.1,17.6,0.193,2.6,5.1
33,BOS,Jordan Mickey,Louisiana State University,3,64,482,152,128,17,0.449,0.118,0.605,7.5,2.4,2,0.3,0.5,0.05,-4.8,-0.3
34,LAL,Anthony Brown,Stanford University,3,41,762,161,103,28,0.328,0.286,0.85,18.6,3.9,2.5,0.7,-0.2,-0.016,-4.8,-0.5
35,PHI,Willy Hernangomez,,3,165,2436,1161,934,170,0.53,0.386,0.69,14.8,7,5.7,1,7.1,0.14,0,1.2
36,MIN,Rakeem Christmas,Syracuse University,2,30,225,63,57,4,0.467,,0.724,7.5,2.1,1.9,0.1,0.5,0.105,-4,-0.1
37,PHI,Richaun Holmes,Bowling Green State University,4,212,3566,1603,911,199,0.571,0.257,0.698,16.8,7.6,4.3,0.9,11.6,0.157,1.3,3
38,DET,Darrun Hilliard,Villanova University,3,91,859,295,85,71,0.377,0.304,0.747,9.4,3.2,0.9,0.8,0.3,0.016,-5.1,-0.7
39,CHO,Juan Pablo Vaulet,,,,,,,,,,,,,,,,,,
40,MIA,Josh Richardson,University of Tennessee,4,245,7466,2955,772,678,0.429,0.376,0.818,30.5,12.1,3.2,2.8,14.7,0.094,0.8,5.2
41,BRK,Pat Connaughton,University of Notre Dame,4,195,2642,809,377,206,0.424,0.339,0.8,13.5,4.1,1.9,1.1,4.7,0.086,-1.3,0.5
42,UTA,Olivier Hanlan,Boston College,,,,,,,,,,,,,,,,,
43,IND,Joseph Young,University of Oregon,3,127,1077,429,130,119,0.393,0.296,0.768,8.5,3.4,1,0.9,0.4,0.016,-5.3,-0.9
44,PHO,Andrew Harrison,University of Kentucky,3,145,2987,1012,287,399,0.373,0.294,0.779,20.6,7,2,2.8,3.2,0.051,-2.7,-0.5
45,BOS,Marcus Thornton,College of William & Mary,,,,,,,,,,,,,,,,,
46,MIL,Norman Powell,"University of California, Los Angeles",4,235,3896,1617,475,280,0.435,0.331,0.803,16.6,6.9,2,1.2,6.5,0.08,-1.5,0.4
47,PHI,Arturas Gudaitis,,,,,,,,,,,,,,,,,,
48,OKC,Dakari Johnson,University of Kentucky,1,31,161,55,34,8,0.564,,0.55,5.2,1.8,1.1,0.3,0.6,0.178,0.3,0.1
49,WAS,Aaron White,University of Iowa,,,,,,,,,,,,,,,,,
50,ATL,Marcus Eriksson,,,,,,,,,,,,,,,,,,
51,ORL,Tyler Harvey,Eastern Washington University,,,,,,,,,,,,,,,,,
52,DAL,Satnam Singh,,,,,,,,,,,,,,,,,,
53,CLE,Sir'Dominic Pointer,St. John's University,,,,,,,,,,,,,,,,,
54,UTA,Dani Diez,,,,,,,,,,,,,,,,,,
55,SAS,Cady Lalanne,University of Massachusetts Amherst,,,,,,,,,,,,,,,,,
56,NOP,Branden Dawson,Michigan State University,1,6,29,5,4,0,0.4,,1,4.8,0.8,0.7,0,0,0.069,-6.6,0
57,DEN,Nikola Radicevic,,,,,,,,,,,,,,,,,,
58,PHI,J.P. Tokoto,University of North Carolina,,,,,,,,,,,,,,,,,
59,ATL,Dimitrios Agravanis,,,,,,,,,,,,,,,,,,
60,PHI,Luka Mitrovic,,,,,,,,,,,,,,,,,,
1,CLE,Andrew Wiggins,University of Kansas,5,383,13795,7435,1623,817,0.439,0.33,0.737,36,19.4,4.2,2.1,12.9,0.045,-2.5,-1.8
2,MIL,Jabari Parker,Duke University,5,229,6845,3424,1290,483,0.487,0.34,0.741,29.9,15,5.6,2.1,10.8,0.076,-1.6,0.7
3,PHI,Joel Embiid,University of Kansas,3,148,4520,3545,1661,453,0.48,0.314,0.79,30.5,24,11.2,3.1,15.3,0.163,3,5.7
4,ORL,Aaron Gordon,University of Arizona,5,322,8839,3942,1974,657,0.45,0.316,0.705,27.5,12.2,6.1,2,16.7,0.09,0.1,4.8
5,UTA,Dante Exum,,4,201,3917,1207,354,459,0.403,0.306,0.77,19.5,6,1.8,2.3,2.9,0.035,-3.1,-1.1
6,BOS,Marcus Smart,Oklahoma State University,5,322,9149,2970,1154,1263,0.366,0.305,0.758,28.4,9.2,3.6,3.9,14.8,0.078,0.5,5.8
7,LAL,Julius Randle,University of Kentucky,5,294,8295,4360,2621,784,0.502,0.298,0.724,28.2,14.8,8.9,2.7,16.9,0.098,-0.4,3.3
8,SAC,Nik Stauskas,University of Michigan,5,316,6380,2153,649,495,0.389,0.348,0.81,20.2,6.8,2.1,1.6,3.4,0.025,-3.3,-2
9,CHH,Noah Vonleh,Indiana University,5,293,5133,1467,1577,216,0.45,0.315,0.681,17.5,5,5.4,0.7,8.1,0.076,-2.5,-0.7
10,PHI,Elfrid Payton,University of Louisiana at Lafayette,5,323,9491,3583,1363,2070,0.456,0.303,0.623,29.4,11.1,4.2,6.4,12.4,0.063,-0.4,3.9
11,DEN,Doug McDermott,Creighton University,5,322,6455,2492,696,255,0.454,0.404,0.827,20,7.7,2.2,0.8,10,0.074,-3.1,-1.7
12,ORL,Dario Saric,,3,220,5955,2791,1382,477,0.43,0.357,0.831,27.1,12.7,6.3,2.2,10.3,0.083,-0.5,2.2
13,MIN,Zach LaVine,"University of California, Los Angeles",5,285,8477,4495,948,984,0.445,0.372,0.833,29.7,15.8,3.3,3.5,7.9,0.045,-1.6,0.9
14,PHO,T.J. Warren,North Carolina State University,5,261,7234,3754,1078,293,0.497,0.34,0.766,27.7,14.4,4.1,1.1,13,0.086,-1.3,1.3
15,ATL,Adreian Payne,Michigan State University,4,107,1403,429,315,66,0.406,0.254,0.68,13.1,4,2.9,0.6,-0.6,-0.019,-5.5,-1.2
16,CHI,Jusuf Nurkic,,5,298,6768,3406,2339,546,0.491,0.077,0.656,22.7,11.4,7.8,1.8,15.1,0.107,1.1,5.3
17,BOS,James Young,University of Kentucky,4,95,812,219,96,28,0.367,0.277,0.563,8.5,2.3,1,0.3,0.8,0.046,-4,-0.4
18,PHO,Tyler Ennis,Syracuse University,4,186,2336,779,250,359,0.419,0.317,0.768,12.6,4.2,1.3,1.9,1.3,0.026,-4.6,-1.5
19,CHI,Gary Harris,Michigan State University,5,291,8288,3649,745,628,0.462,0.363,0.803,28.5,12.5,2.6,2.2,15.3,0.089,0.1,4.3
20,TOR,Bruno Caboclo,,5,50,520,146,84,22,0.34,0.271,0.95,10.4,2.9,1.7,0.4,0,0.004,-3.5,-0.2
21,OKC,Mitch McGary,University of Michigan,2,52,557,227,183,17,0.527,0,0.58,10.7,4.4,3.5,0.3,1.3,0.108,-3.1,-0.2
22,MEM,Jordan Adams,"University of California, Los Angeles",2,32,263,101,30,19,0.402,0.385,0.607,8.2,3.2,0.9,0.6,0.4,0.07,-0.5,0.1
23,UTA,Rodney Hood,Duke University,5,301,8219,3811,874,585,0.42,0.367,0.841,27.3,12.7,2.9,1.9,15.2,0.089,-1,2.1
24,CHH,Shabazz Napier,University of Connecticut,5,284,4584,1831,489,581,0.393,0.353,0.812,16.1,6.4,1.7,2,6.3,0.066,-1.6,0.5
25,HOU,Clint Capela,,5,275,6754,3218,2448,246,0.63,0,0.513,24.6,11.7,8.9,0.9,27.6,0.196,1.6,6.2
26,MIA,P.J. Hairston,University of North Carolina,2,111,2000,664,266,59,0.343,0.295,0.81,18,6,2.4,0.5,0.9,0.021,-3.9,-1
27,PHO,Bogdan Bogdanovic,,2,127,3561,1649,406,459,0.436,0.367,0.827,28,13,3.2,3.6,5,0.067,-0.7,1.2
