,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP
317,18,ATL,Shane Larkin,University of Miami,4.0,256.0,4880.0,1399.0,490.0,737.0,0.42200000000000004,0.336,0.777,19.1,5.5,1.9,2.9,4.4,0.044000000000000004,-2.5,-0.6
318,19,CLE,Sergey Karasev,,3.0,95.0,1110.0,287.0,140.0,87.0,0.395,0.282,0.8420000000000001,11.7,3.0,1.5,0.9,0.8,0.036000000000000004,-3.1,-0.3
319,20,CHI,Tony Snell,University of New Mexico,6.0,429.0,9386.0,2686.0,1008.0,442.0,0.425,0.382,0.82,21.9,6.3,2.3,1.0,13.0,0.067,-1.9,0.3
320,21,UTA,Gorgui Dieng,University of Louisville,6.0,433.0,9979.0,3428.0,2734.0,607.0,0.505,0.324,0.7909999999999999,23.0,7.9,6.3,1.4,23.8,0.114,1.6,9.0
321,22,BRK,Mason Plumlee,Duke University,6.0,450.0,9945.0,3850.0,2829.0,952.0,0.5720000000000001,0.083,0.563,22.1,8.6,6.3,2.1,29.5,0.14300000000000002,2.4,11.0
322,23,IND,Solomon Hill,University of Arizona,6.0,296.0,6746.0,1753.0,972.0,460.0,0.395,0.326,0.809,22.8,5.9,3.3,1.6,9.2,0.065,-0.6,2.3
323,24,NYK,Tim Hardaway,University of Michigan,6.0,393.0,10227.0,5125.0,1003.0,723.0,0.419,0.344,0.816,26.0,13.0,2.6,1.8,15.2,0.07200000000000001,-1.7,0.8
324,25,LAC,Reggie Bullock,University of North Carolina,6.0,259.0,4917.0,1747.0,532.0,291.0,0.43700000000000006,0.4,0.8270000000000001,19.0,6.7,2.1,1.1,9.6,0.094,-0.5,1.9
325,26,MIN,Andre Roberson,University of Colorado,5.0,295.0,6651.0,1356.0,1188.0,257.0,0.48200000000000004,0.257,0.467,22.5,4.6,4.0,0.9,12.7,0.092,0.6,4.4
326,27,DEN,Rudy Gobert,,6.0,386.0,11025.0,4183.0,4017.0,517.0,0.622,0.0,0.636,28.6,10.8,10.4,1.3,49.2,0.214,5.0,19.6
327,28,SAS,Livio Jean-Charles,,,,,,,,,,,12.631818181818181,4.327272727272727,1.9999999999999998,1.0318181818181817,,0.019863636363636365,-4.831818181818182,-0.04545454545454552
328,29,OKC,Archie Goodwin,University of Kentucky,4.0,165.0,2396.0,1040.0,331.0,206.0,0.429,0.23600000000000002,0.7,14.5,6.3,2.0,1.2,1.1,0.022000000000000002,-4.2,-1.3
329,30,PHO,Nemanja Nedovic,,1.0,24.0,142.0,26.0,15.0,13.0,0.205,0.16699999999999998,0.875,5.9,1.1,0.6,0.5,-0.4,-0.132,-10.6,-0.3
330,31,CLE,Allen Crabbe,University of California,6.0,337.0,8274.0,3229.0,971.0,392.0,0.431,0.396,0.8390000000000001,24.6,9.6,2.9,1.2,13.8,0.08,-1.0,2.1
331,32,OKC,Alex Abrines,,3.0,174.0,2777.0,924.0,248.0,88.0,0.387,0.368,0.88,16.0,5.3,1.4,0.5,5.0,0.086,-2.6,-0.4
332,33,CLE,Carrick Felix,Arizona State University,1.0,7.0,38.0,19.0,6.0,4.0,0.5,0.4,0.75,5.4,2.7,0.9,0.6,0.0,0.057,-4.7,0.0
333,34,HOU,Isaiah Canaan,Murray State University,6.0,233.0,4786.0,1913.0,436.0,453.0,0.37200000000000005,0.35200000000000004,0.836,20.5,8.2,1.9,1.9,4.3,0.044000000000000004,-3.0,-1.2
334,35,PHI,Glen Rice,Georgia Institute of Technology,2.0,16.0,152.0,43.0,24.0,9.0,0.26899999999999996,0.25,0.6920000000000001,9.5,2.7,1.5,0.6,-0.2,-0.065,-7.3,-0.2
335,36,SAC,Ray McCallum,University of Detroit Mercy,3.0,154.0,2808.0,920.0,306.0,368.0,0.408,0.335,0.711,18.2,6.0,2.0,2.4,2.1,0.035,-2.8,-0.6
336,37,DET,Tony Mitchell,University of North Texas,1.0,21.0,79.0,22.0,26.0,2.0,0.41700000000000004,1.0,0.579,3.8,1.0,1.2,0.1,0.2,0.151,1.3,0.1
337,38,WAS,Nate Wolters,South Dakota State University,3.0,84.0,1575.0,461.0,185.0,209.0,0.423,0.261,0.635,18.8,5.5,2.2,2.5,0.9,0.027999999999999997,-4.0,-0.8
338,39,POR,Jeff Withey,University of Kansas,5.0,206.0,2072.0,666.0,518.0,64.0,0.525,0.14300000000000002,0.716,10.1,3.2,2.5,0.3,6.8,0.157,0.6,1.4
339,40,POR,Grant Jerrett,University of Arizona,1.0,8.0,51.0,16.0,9.0,3.0,0.26899999999999996,0.067,1.0,6.4,2.0,1.1,0.4,-0.1,-0.128,-8.4,-0.1
340,41,MEM,Jamaal Franklin,San Diego State University,2.0,24.0,174.0,42.0,25.0,9.0,0.415,0.462,1.0,7.3,1.8,1.0,0.4,0.0,-0.006,-5.4,-0.1
341,42,PHI,Pierre Jackson,Baylor University,1.0,8.0,84.0,35.0,9.0,19.0,0.33299999999999996,0.273,0.857,10.5,4.4,1.1,2.4,0.0,0.021,-4.4,-0.1
342,43,MIL,Ricky Ledo,Providence College,2.0,28.0,277.0,109.0,38.0,21.0,0.336,0.371,0.769,9.9,3.9,1.4,0.8,-0.6,-0.096,-7.8,-0.4
343,44,DAL,Mike Muscala,Bucknell University,6.0,293.0,4649.0,1668.0,960.0,276.0,0.46799999999999997,0.363,0.84,15.9,5.7,3.3,0.9,11.4,0.11800000000000001,0.1,2.4
344,45,POR,Marko Todorovic,,,,,,,,,,,16.4,5.605263157894737,2.542105263157895,1.010526315789474,,0.07073684210526315,-2.4526315789473685,2.6
345,46,UTA,Erick Green,Virginia Polytechnic Institute and State University,2.0,52.0,452.0,159.0,37.0,42.0,0.377,0.28800000000000003,0.857,8.7,3.1,0.7,0.8,0.1,0.011000000000000001,-5.1,-0.3
346,47,ATL,Raul Neto,,4.0,187.0,2643.0,882.0,239.0,340.0,0.446,0.379,0.769,14.1,4.7,1.3,1.8,4.2,0.076,-2.1,-0.1
347,48,LAL,Ryan Kelly,Duke University,4.0,163.0,3125.0,981.0,504.0,215.0,0.37799999999999995,0.316,0.797,19.2,6.0,3.1,1.3,3.0,0.046,-2.2,-0.2
348,49,CHI,Erik Murphy,University of Florida,1.0,24.0,62.0,6.0,8.0,2.0,0.231,0.0,,2.6,0.3,0.3,0.1,-0.1,-0.055,-8.1,-0.1
349,50,ATL,James Ennis,"California State University, Long Beach",5.0,266.0,5505.0,1720.0,826.0,235.0,0.457,0.358,0.8,20.7,6.5,3.1,0.9,11.0,0.096,-0.6,1.9
350,51,ORL,Romero Osby,University of Oklahoma,,,,,,,,,,15.657142857142858,5.828571428571428,1.9428571428571428,1.5857142857142856,,0.04971428571428572,-3.228571428571428,2.8000000000000003
351,52,MIN,Lorenzo Brown,North Carolina State University,5.0,103.0,1185.0,293.0,151.0,183.0,0.364,0.17,0.7070000000000001,11.5,2.8,1.5,1.8,-0.2,-0.006999999999999999,-4.0,-0.6
352,53,IND,Colton Iverson,Colorado State University,,,,,,,,,,14.02222222222222,4.0,1.9333333333333331,0.9222222222222223,,0.013222222222222222,-4.266666666666667,0.17777777777777784
353,54,WAS,Arsalan Kazemi,University of Oregon,,,,,,,,,,12.08333333333333,4.249999999999999,1.791666666666667,0.9333333333333335,,0.04466666666666666,-3.8666666666666667,-0.17499999999999996
354,55,MEM,Joffrey Lauvergne,,4.0,208.0,2823.0,1159.0,789.0,180.0,0.479,0.285,0.7190000000000001,13.6,5.6,3.8,0.9,5.2,0.08900000000000001,-2.6,-0.4
355,56,DET,Peyton Siva,University of Louisville,1.0,24.0,224.0,54.0,14.0,34.0,0.316,0.28,0.733,9.3,2.3,0.6,1.4,-0.2,-0.032,-7.3,-0.3
356,57,PHO,Alex Oriakhi,University of Missouri,,,,,,,,,,7.3,1.75,0.75,1.15,,-0.05,-6.55,-0.25
357,58,SAS,Deshaun Thomas,Ohio State University,,,,,,,,,,10.162500000000001,3.6,1.725,0.5375,,0.07300000000000001,-3.3375,0.07499999999999998
358,59,MIN,Bojan Dubljevic,,,,,,,,,,,12.25,3.2,2.2,0.7,,0.0005000000000000004,-4.75,-0.25
359,60,MEM,Janis Timma,,,,,,,,,,,15.183333333333335,6.166666666666667,2.15,1.5166666666666666,,0.035500000000000004,-3.633333333333333,1.9833333333333332
360,1,NOH,Anthony Davis,University of Kentucky,7.0,458.0,15937.0,10928.0,4835.0,961.0,0.517,0.311,0.7959999999999999,34.8,23.9,10.6,2.1,71.5,0.215,4.8,27.2
361,2,CHA,Michael Kidd-Gilchrist,University of Kentucky,7.0,411.0,10567.0,3658.0,2329.0,490.0,0.47700000000000004,0.237,0.7140000000000001,25.7,8.9,5.7,1.2,21.0,0.095,-1.1,2.4
362,3,WAS,Bradley Beal,University of Florida,7.0,467.0,16031.0,9155.0,1821.0,1704.0,0.451,0.386,0.8009999999999999,34.3,19.6,3.9,3.6,34.2,0.10300000000000001,0.8,11.5
363,4,CLE,Dion Waiters,Syracuse University,7.0,388.0,11046.0,5108.0,1023.0,1087.0,0.41200000000000003,0.341,0.696,28.5,13.2,2.6,2.8,7.9,0.034,-2.6,-1.7
364,5,SAC,Thomas Robinson,University of Kansas,5.0,313.0,4204.0,1528.0,1507.0,190.0,0.47,0.0,0.505,13.4,4.9,4.8,0.6,4.6,0.053,-3.2,-1.3
365,6,POR,Damian Lillard,Weber State University,7.0,529.0,19186.0,12400.0,2194.0,3313.0,0.434,0.368,0.888,36.3,23.4,4.1,6.3,66.9,0.16699999999999998,3.9,28.5
366,7,GSW,Harrison Barnes,University of North Carolina,7.0,519.0,15893.0,7000.0,2543.0,792.0,0.444,0.369,0.795,30.6,13.5,4.9,1.5,28.5,0.086,-1.4,2.5
367,8,TOR,Terrence Ross,University of Washington,7.0,474.0,11444.0,4866.0,1303.0,498.0,0.423,0.37200000000000005,0.8140000000000001,24.1,10.3,2.7,1.1,17.8,0.075,-0.9,3.2
368,9,DET,Andre Drummond,University of Connecticut,7.0,520.0,15958.0,7288.0,7055.0,580.0,0.542,0.141,0.43799999999999994,30.7,14.0,13.6,1.1,52.8,0.159,1.6,14.5
369,10,NOH,Austin Rivers,Duke University,7.0,466.0,11504.0,4343.0,962.0,1128.0,0.418,0.349,0.64,24.7,9.3,2.1,2.4,8.7,0.036000000000000004,-2.8,-2.2
370,11,POR,Meyers Leonard,University of Illinois at Urbana-Champaign,7.0,384.0,5970.0,2139.0,1439.0,326.0,0.47700000000000004,0.387,0.823,15.5,5.6,3.7,0.8,13.1,0.105,-1.5,0.8
371,12,HOU,Jeremy Lamb,University of Connecticut,7.0,414.0,8304.0,4120.0,1481.0,625.0,0.444,0.335,0.8440000000000001,20.1,10.0,3.6,1.5,19.2,0.111,-0.6,2.8
372,13,PHO,Kendall Marshall,University of North Carolina,4.0,160.0,3083.0,802.0,253.0,779.0,0.39899999999999997,0.37,0.611,19.3,5.0,1.6,4.9,1.0,0.015,-5.6,-2.8
373,14,MIL,John Henson,University of North Carolina,7.0,405.0,8152.0,3162.0,2206.0,442.0,0.539,0.273,0.5720000000000001,20.1,7.8,5.4,1.1,19.3,0.114,0.5,5.1
374,15,PHI,Maurice Harkless,St. John's University,7.0,456.0,10447.0,3304.0,1659.0,400.0,0.474,0.326,0.611,22.9,7.2,3.6,0.9,17.7,0.081,0.1,5.4
375,16,HOU,Royce White,Iowa State University,1.0,3.0,9.0,0.0,0.0,0.0,0.0,,,3.0,0.0,0.0,0.0,0.0,-0.121,-10.4,0.0
376,17,DAL,Tyler Zeller,University of North Carolina,6.0,406.0,7157.0,2825.0,1792.0,363.0,0.508,0.294,0.764,17.6,7.0,4.4,0.9,16.8,0.11199999999999999,-1.5,0.8
377,18,HOU,Terrence Jones,University of Kentucky,5.0,232.0,5557.0,2429.0,1330.0,238.0,0.501,0.299,0.622,24.0,10.5,5.7,1.0,14.8,0.128,0.2,3.0
378,19,ORL,Andrew Nicholson,St. Bonaventure University,5.0,285.0,4080.0,1700.0,857.0,126.0,0.467,0.321,0.773,14.3,6.0,3.0,0.4,3.8,0.045,-5.3,-3.4
379,20,DEN,Evan Fournier,,7.0,438.0,12188.0,5854.0,1196.0,1084.0,0.444,0.37,0.8029999999999999,27.8,13.4,2.7,2.5,18.1,0.071,-1.1,2.8
380,21,BOS,Jared Sullinger,Ohio State University,5.0,269.0,6532.0,2893.0,2006.0,477.0,0.436,0.272,0.723,24.3,10.8,7.5,1.8,15.3,0.113,0.5,4.1
381,22,BOS,Fab Melo,Syracuse University,1.0,6.0,36.0,7.0,3.0,0.0,0.5,,0.25,6.0,1.2,0.5,0.0,0.0,0.021,-5.8,0.0
382,23,ATL,John Jenkins,Vanderbilt University,6.0,155.0,1951.0,774.0,222.0,121.0,0.45,0.366,0.8440000000000001,12.6,5.0,1.4,0.8,2.8,0.069,-3.7,-0.8
383,24,CLE,Jared Cunningham,Oregon State University,4.0,84.0,605.0,197.0,56.0,39.0,0.34700000000000003,0.306,0.674,7.2,2.3,0.7,0.5,0.2,0.017,-5.9,-0.6
384,25,MEM,Tony Wroten,University of Washington,4.0,145.0,3076.0,1604.0,363.0,437.0,0.413,0.231,0.647,21.2,11.1,2.5,3.0,-1.3,-0.021,-4.1,-1.6
385,26,IND,Miles Plumlee,Duke University,7.0,346.0,5658.0,1697.0,1562.0,178.0,0.542,,0.5429999999999999,16.4,4.9,4.5,0.5,10.6,0.09,-1.6,0.5
386,27,MIA,Arnett Moultrie,Mississippi State University,2.0,59.0,729.0,210.0,180.0,12.0,0.547,,0.667,12.4,3.6,3.1,0.2,1.7,0.113,-3.0,-0.2
387,28,OKC,Perry Jones,Baylor University,3.0,143.0,1675.0,488.0,252.0,54.0,0.42,0.293,0.66,11.7,3.4,1.8,0.4,1.7,0.048,-4.6,-1.1
388,29,CHI,Marquis Teague,University of Kentucky,3.0,91.0,909.0,217.0,90.0,134.0,0.34299999999999997,0.222,0.6609999999999999,10.0,2.4,1.0,1.5,-0.9,-0.045,-8.0,-1.4
389,30,GSW,Festus Ezeli,Vanderbilt University,3.0,170.0,2394.0,712.0,725.0,63.0,0.513,,0.557,14.1,4.2,4.3,0.4,5.9,0.11900000000000001,-1.1,0.6
390,31,CHA,Jeff Taylor,Vanderbilt University,3.0,132.0,2566.0,807.0,263.0,107.0,0.409,0.319,0.665,19.4,6.1,2.0,0.8,1.3,0.024,-3.9,-1.2
391,32,WAS,Tomas Satoransky,,3.0,189.0,3826.0,1158.0,500.0,637.0,0.494,0.42100000000000004,0.773,20.2,6.1,2.6,3.4,8.8,0.111,-0.3,1.6
392,33,CLE,Bernard James,Florida State University,3.0,92.0,761.0,203.0,212.0,13.0,0.49700000000000005,0.0,0.68,8.3,2.2,2.3,0.1,1.9,0.11699999999999999,-1.1,0.2
393,34,CLE,Jae Crowder,Marquette University,7.0,523.0,12643.0,4906.0,2023.0,735.0,0.423,0.34,0.7759999999999999,24.2,9.4,3.9,1.4,27.3,0.10400000000000001,0.6,8.4
394,35,GSW,Draymond Green,Michigan State University,7.0,514.0,14375.0,4675.0,3564.0,2468.0,0.43799999999999994,0.322,0.7070000000000001,28.0,9.1,6.9,4.8,41.9,0.14,3.7,20.8
395,36,SAC,Orlando Johnson,"University of California, Santa Barbara",3.0,103.0,1112.0,329.0,180.0,69.0,0.358,0.311,0.727,10.8,3.2,1.7,0.7,1.4,0.059000000000000004,-3.8,-0.5
396,37,TOR,Quincy Acy,Baylor University,7.0,337.0,5392.0,1642.0,1179.0,217.0,0.444,0.35,0.759,16.0,4.9,3.5,0.6,8.7,0.078,-1.8,0.2
397,38,DEN,Quincy Miller,Baylor University,3.0,69.0,934.0,295.0,169.0,37.0,0.35,0.292,0.706,13.5,4.3,2.4,0.5,-0.1,-0.003,-4.0,-0.5
398,39,DET,Khris Middleton,Texas A&M University,7.0,436.0,13843.0,6731.0,1906.0,1381.0,0.451,0.389,0.871,31.8,15.4,4.4,3.2,29.3,0.102,0.1,7.4
399,40,POR,Will Barton,University of Memphis,7.0,417.0,9606.0,4398.0,1628.0,988.0,0.433,0.342,0.792,23.0,10.5,3.9,2.4,16.4,0.08199999999999999,-0.5,3.7
400,41,POR,Tyshawn Taylor,University of Kansas,2.0,61.0,491.0,174.0,33.0,57.0,0.354,0.36,0.684,8.0,2.9,0.5,0.9,-0.9,-0.08800000000000001,-8.8,-0.8
401,42,MIL,Doron Lamb,University of Kentucky,2.0,100.0,1272.0,345.0,95.0,75.0,0.381,0.39399999999999996,0.7,12.7,3.5,1.0,0.8,0.1,0.005,-5.9,-1.2
402,43,ATL,Mike Scott,University of Virginia,7.0,417.0,6645.0,2960.0,1272.0,390.0,0.467,0.36,0.754,15.9,7.1,3.1,0.9,12.7,0.092,-2.4,-0.6
403,44,DET,Kim English,University of Missouri,1.0,41.0,407.0,119.0,37.0,26.0,0.375,0.28,0.7240000000000001,9.9,2.9,0.9,0.6,0.2,0.021,-4.2,-0.2
404,45,PHI,Justin Hamilton,Louisiana State University,3.0,113.0,1961.0,687.0,403.0,91.0,0.46399999999999997,0.309,0.7979999999999999,17.4,6.1,3.6,0.8,3.7,0.091,-0.3,0.8
405,46,NOH,Darius Miller,University of Kentucky,5.0,239.0,4803.0,1398.0,395.0,302.0,0.419,0.386,0.847,20.1,5.8,1.7,1.3,5.6,0.055999999999999994,-1.5,0.5
406,47,UTA,Kevin Murphy,Tennessee Technological University,1.0,17.0,52.0,15.0,4.0,2.0,0.25,0.2,,3.1,0.9,0.2,0.1,-0.3,-0.272,-17.6,-0.2
407,48,NYK,Kostas Papanikolaou,,2.0,69.0,1089.0,249.0,158.0,101.0,0.354,0.297,0.688,15.8,3.6,2.3,1.5,0.3,0.015,-2.8,-0.2
408,49,ORL,Kyle O'Quinn,Norfolk State University,7.0,434.0,6320.0,2420.0,2023.0,577.0,0.517,0.21100000000000002,0.7490000000000001,14.6,5.6,4.7,1.3,16.4,0.125,1.8,6.0
409,50,DEN,Izzet Turkyilmaz,,,,,,,,,,,13.218181818181819,4.509090909090909,2.3909090909090907,0.6181818181818182,,0.05327272727272728,-4.0636363636363635,0.3272727272727273
410,51,BOS,Kris Joseph,Syracuse University,1.0,10.0,54.0,9.0,7.0,1.0,0.14300000000000002,0.0,0.625,5.4,0.9,0.7,0.1,-0.1,-0.127,-10.5,-0.1
411,52,GSW,Ognjen Kuzmic,,2.0,37.0,164.0,35.0,38.0,8.0,0.52,,0.6,4.4,0.9,1.0,0.2,0.2,0.061,-2.5,0.0
412,53,LAC,Furkan Aldemir,,1.0,41.0,540.0,93.0,176.0,28.0,0.513,0.0,0.48100000000000004,13.2,2.3,4.3,0.7,1.4,0.122,-0.7,0.2
413,54,PHI,Tornike Shengelia,,2.0,45.0,247.0,59.0,39.0,17.0,0.451,0.125,0.5,5.5,1.3,0.9,0.4,-0.2,-0.032,-6.6,-0.3
414,55,DAL,Darius Johnson-Odom,Marquette University,2.0,7.0,21.0,0.0,6.0,2.0,0.0,0.0,0.0,3.0,0.0,0.9,0.3,-0.3,-0.597,-23.2,-0.1
415,56,TOR,Tomislav Zubcic,,,,,,,,,,,11.76666666666667,3.9888888888888894,1.7666666666666668,1.2333333333333332,,0.025333333333333333,-4.477777777777778,-0.4222222222222222
416,57,NJN,Ilkan Karaman,,,,,,,,,,,7.3,1.75,0.75,1.15,,-0.05,-6.55,-0.25
417,58,MIN,Robbie Hummel,Purdue University,2.0,98.0,1397.0,379.0,266.0,50.0,0.418,0.34299999999999997,0.867,14.3,3.9,2.7,0.5,1.9,0.066,-2.9,-0.3
418,59,SAS,Marcus Denmon,University of Missouri,,,,,,,,,,12.25,3.2,2.2,0.7,,0.0005000000000000004,-4.75,-0.25
419,60,LAL,Robert Sacre,Gonzaga University,4.0,189.0,2745.0,787.0,593.0,126.0,0.436,0.0,0.6709999999999999,14.5,4.2,3.1,0.7,2.4,0.042,-3.1,-0.8
420,1,CLE,Kyrie Irving,Duke University,8.0,492.0,16625.0,10903.0,1760.0,2768.0,0.465,0.391,0.875,33.8,22.2,3.6,5.6,56.5,0.163,3.7,23.8
421,2,MIN,Derrick Williams,University of Arizona,7.0,428.0,8864.0,3809.0,1693.0,293.0,0.434,0.3,0.71,20.7,8.9,4.0,0.7,14.1,0.076,-3.2,-2.6
422,3,UTA,Enes Kanter,,8.0,564.0,12514.0,6696.0,4268.0,465.0,0.539,0.293,0.782,22.2,11.9,7.6,0.8,37.9,0.146,-1.5,1.7
423,4,CLE,Tristan Thompson,University of Texas at Austin,8.0,554.0,15496.0,5086.0,4767.0,493.0,0.519,0.0,0.61,28.0,9.2,8.6,0.9,39.8,0.12300000000000001,-0.6,5.6
424,5,TOR,Jonas Valanciunas,,7.0,475.0,11899.0,5617.0,4009.0,362.0,0.5589999999999999,0.365,0.7859999999999999,25.1,11.8,8.4,0.8,44.2,0.17800000000000002,-0.1,5.8
425,6,WAS,Jan Vesely,,3.0,162.0,2455.0,590.0,562.0,96.0,0.521,0.0,0.408,15.2,3.6,3.5,0.6,4.0,0.078,-0.6,0.9
426,7,SAC,Bismack Biyombo,,8.0,564.0,11563.0,2798.0,3575.0,274.0,0.516,0.0,0.5720000000000001,20.5,5.0,6.3,0.5,22.5,0.09300000000000001,-1.9,0.2
427,8,DET,Brandon Knight,University of Kentucky,7.0,401.0,12179.0,5906.0,1297.0,1656.0,0.413,0.354,0.812,30.4,14.7,3.2,4.1,11.6,0.046,-1.4,2.0
428,9,CHA,Kemba Walker,University of Connecticut,8.0,584.0,19860.0,11446.0,2218.0,3168.0,0.41700000000000004,0.358,0.833,34.0,19.6,3.8,5.4,46.6,0.113,2.4,22.1
429,10,MIL,Jimmer Fredette,Brigham Young University,5.0,235.0,3148.0,1416.0,236.0,323.0,0.41200000000000003,0.381,0.8759999999999999,13.4,6.0,1.0,1.4,2.4,0.037000000000000005,-4.0,-1.6
430,11,GSW,Klay Thompson,Washington State University,8.0,598.0,19784.0,11660.0,2070.0,1369.0,0.45899999999999996,0.419,0.848,33.1,19.5,3.5,2.3,45.8,0.111,0.2,11.2
431,12,UTA,Alec Burks,University of Colorado,8.0,422.0,8997.0,4081.0,1294.0,723.0,0.423,0.35700000000000004,0.7709999999999999,21.3,9.7,3.1,1.7,12.9,0.069,-2.2,-0.5
432,13,PHO,Markieff Morris,University of Kansas,8.0,559.0,14722.0,6603.0,3109.0,964.0,0.45,0.337,0.78,26.3,11.8,5.6,1.7,23.3,0.076,-0.7,4.7
433,14,HOU,Marcus Morris,University of Kansas,8.0,527.0,13945.0,6066.0,2403.0,799.0,0.433,0.36200000000000004,0.745,26.5,11.5,4.6,1.5,26.4,0.091,-0.6,5.1
434,15,IND,Kawhi Leonard,San Diego State University,8.0,452.0,13919.0,7859.0,2852.0,1072.0,0.494,0.382,0.85,30.8,17.4,6.3,2.4,63.6,0.21899999999999997,6.2,28.7
435,16,PHI,Nikola Vucevic,University of Southern California,8.0,518.0,15521.0,8017.0,5225.0,1248.0,0.502,0.34,0.735,30.0,15.5,10.1,2.4,39.5,0.122,1.6,14.3
436,17,NYK,Iman Shumpert,Georgia Institute of Technology,8.0,431.0,10924.0,3193.0,1454.0,819.0,0.39299999999999996,0.341,0.768,25.3,7.4,3.4,1.9,12.8,0.055999999999999994,-0.4,4.4
437,18,WAS,Chris Singleton,Florida State University,3.0,148.0,2605.0,612.0,472.0,92.0,0.376,0.319,0.633,17.6,4.1,3.2,0.6,2.3,0.042,-2.3,-0.2
438,19,CHA,Tobias Harris,University of Tennessee,8.0,527.0,15928.0,8118.0,3099.0,971.0,0.47200000000000003,0.368,0.821,30.2,15.4,5.9,1.8,38.6,0.11599999999999999,0.3,9.1
439,20,MIN,Donatas Motiejunas,,5.0,248.0,4553.0,1826.0,949.0,268.0,0.469,0.3,0.6,18.4,7.4,3.8,1.1,7.2,0.076,-2.0,0.0
440,21,POR,Nolan Smith,Duke University,2.0,84.0,829.0,277.0,83.0,97.0,0.371,0.26,0.7140000000000001,9.9,3.3,1.0,1.2,-0.8,-0.047,-6.5,-0.9
441,22,DEN,Kenneth Faried,Morehead State University,8.0,469.0,11565.0,5346.0,3829.0,468.0,0.546,0.237,0.653,24.7,11.4,8.2,1.0,38.2,0.158,1.2,9.3
442,23,HOU,Nikola Mirotic,,5.0,309.0,7480.0,3806.0,1840.0,393.0,0.424,0.36,0.807,24.2,12.3,6.0,1.3,20.4,0.131,0.8,5.2
443,24,OKC,Reggie Jackson,Boston College,8.0,508.0,12829.0,6490.0,1514.0,2248.0,0.428,0.32899999999999996,0.861,25.3,12.8,3.0,4.4,27.2,0.102,0.0,6.4
444,25,BOS,MarShon Brooks,Providence College,5.0,200.0,3456.0,1592.0,424.0,282.0,0.447,0.345,0.7509999999999999,17.3,8.0,2.1,1.4,3.3,0.047,-2.5,-0.4
445,26,DAL,Jordan Hamilton,University of Texas at Austin,5.0,151.0,2100.0,890.0,429.0,127.0,0.408,0.35700000000000004,0.67,13.9,5.9,2.8,0.8,3.0,0.069,-1.5,0.3
446,27,NJN,JaJuan Johnson,Purdue University,1.0,36.0,298.0,114.0,58.0,6.0,0.446,,0.667,8.3,3.2,1.6,0.2,0.2,0.032,-6.3,-0.3
447,28,CHI,Norris Cole,Cleveland State University,6.0,360.0,8018.0,2506.0,702.0,981.0,0.40700000000000003,0.324,0.743,22.3,7.0,2.0,2.7,3.0,0.018000000000000002,-4.0,-4.0
448,29,SAS,Cory Joseph,University of Texas at Austin,8.0,509.0,10911.0,3580.0,1314.0,1418.0,0.449,0.33,0.76,21.4,7.0,2.6,2.8,21.7,0.095,-0.6,4.0
449,30,CHI,Jimmy Butler,Marquette University,8.0,508.0,16721.0,8469.0,2491.0,1745.0,0.455,0.341,0.8340000000000001,32.9,16.7,4.9,3.4,64.7,0.18600000000000003,4.1,25.6
450,31,MIA,Bojan Bogdanovic,,5.0,381.0,10516.0,4937.0,1270.0,513.0,0.462,0.387,0.852,27.6,13.0,3.3,1.3,17.1,0.078,-1.8,0.6
451,32,CLE,Justin Harper,University of Richmond,3.0,22.0,150.0,45.0,18.0,4.0,0.34,0.276,0.33299999999999996,6.8,2.0,0.8,0.2,-0.3,-0.09300000000000001,-8.4,-0.2
452,33,DET,Kyle Singler,Duke University,6.0,356.0,7794.0,2326.0,1026.0,272.0,0.418,0.36200000000000004,0.7859999999999999,21.9,6.5,2.9,0.8,10.0,0.062,-1.6,0.7
453,34,WAS,Shelvin Mack,Butler University,8.0,454.0,8374.0,2994.0,894.0,1421.0,0.424,0.33,0.732,18.4,6.6,2.0,3.1,10.6,0.061,-2.6,-1.3
454,35,SAC,Tyler Honeycutt,"University of California, Los Angeles",2.0,24.0,120.0,28.0,24.0,9.0,0.314,0.2,0.7140000000000001,5.0,1.2,1.0,0.4,-0.1,-0.049,-6.4,-0.1
455,36,NJN,Jordan Williams,University of Maryland,1.0,43.0,635.0,197.0,156.0,11.0,0.507,,0.652,14.8,4.6,3.6,0.3,1.3,0.10099999999999999,-3.1,-0.2
456,37,LAC,Trey Thompkins,University of Georgia,1.0,24.0,119.0,57.0,24.0,3.0,0.39299999999999996,0.308,0.7140000000000001,5.0,2.4,1.0,0.1,0.0,0.004,-8.9,-0.2
457,38,HOU,Chandler Parsons,University of Florida,8.0,417.0,12817.0,5404.0,1913.0,1161.0,0.46399999999999997,0.374,0.7090000000000001,30.7,13.0,4.6,2.8,28.9,0.10800000000000001,1.7,12.1
458,39,CHA,Jeremy Tyler,,3.0,104.0,1034.0,373.0,269.0,25.0,0.45,0.0,0.557,9.9,3.6,2.6,0.2,0.3,0.013999999999999999,-6.6,-1.2
459,40,MIL,Jon Leuer,University of Wisconsin,8.0,370.0,5899.0,2384.0,1417.0,300.0,0.485,0.32899999999999996,0.768,15.9,6.4,3.8,0.8,13.2,0.107,-1.3,1.0
