,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP
139,20,IND,Caris LeVert,University of Michigan,3.0,149.0,3683.0,1645.0,529.0,488.0,0.439,0.32899999999999996,0.7170000000000001,24.7,11.0,3.6,3.3,4.9,0.063,-0.7,1.2
140,21,ATL,DeAndre Bembry,Saint Joseph's University,3.0,126.0,2331.0,737.0,398.0,231.0,0.43700000000000006,0.282,0.5710000000000001,18.5,5.8,3.2,1.8,0.2,0.005,-3.2,-0.7
141,22,CHO,Malachi Richardson,Syracuse University,3.0,70.0,625.0,198.0,70.0,24.0,0.358,0.301,0.7829999999999999,8.9,2.8,1.0,0.3,-0.1,-0.009000000000000001,-6.8,-0.8
142,23,BOS,Ante Zizic,,2.0,77.0,989.0,440.0,295.0,37.0,0.579,,0.727,12.8,5.7,3.8,0.5,2.4,0.115,-2.9,-0.2
143,24,PHI,Timothe Luwawu,,3.0,151.0,2255.0,827.0,261.0,139.0,0.381,0.316,0.823,14.9,5.5,1.7,0.9,1.4,0.03,-4.7,-1.5
144,25,LAC,Brice Johnson,University of North Carolina,2.0,21.0,107.0,47.0,34.0,3.0,0.449,0.0,0.6,5.1,2.2,1.6,0.1,0.1,0.062,-2.5,0.0
145,26,PHI,Furkan Korkmaz,,2.0,60.0,734.0,292.0,116.0,55.0,0.389,0.327,0.804,12.2,4.9,1.9,0.9,1.1,0.07400000000000001,-2.4,-0.1
146,27,TOR,Pascal Siakam,New Mexico State University,3.0,197.0,4466.0,1811.0,978.0,351.0,0.529,0.295,0.736,22.7,9.2,5.0,1.8,13.4,0.14400000000000002,2.2,4.7
147,28,PHO,Skal Labissiere,University of Kentucky,3.0,108.0,1969.0,848.0,475.0,105.0,0.475,0.35700000000000004,0.754,18.2,7.9,4.4,1.0,2.7,0.065,-2.7,-0.4
148,29,SAS,Dejounte Murray,University of Washington,2.0,119.0,2065.0,784.0,501.0,279.0,0.441,0.316,0.708,17.4,6.6,4.2,2.3,3.2,0.07400000000000001,0.3,1.2
149,30,GSW,Damian Jones,Vanderbilt University,3.0,49.0,584.0,174.0,112.0,30.0,0.643,,0.5770000000000001,11.9,3.6,2.3,0.6,1.5,0.127,-0.3,0.2
150,31,BOS,Deyonta Davis,Michigan State University,2.0,98.0,1181.0,418.0,310.0,42.0,0.593,,0.64,12.1,4.3,3.2,0.4,3.2,0.13,-1.5,0.2
151,32,LAL,Ivica Zubac,,3.0,121.0,1672.0,786.0,492.0,90.0,0.535,0.0,0.772,13.8,6.5,4.1,0.7,4.2,0.12,-1.9,0.1
152,33,LAC,Cheick Diallo,University of Kansas,3.0,114.0,1316.0,573.0,477.0,38.0,0.58,0.0,0.741,11.5,5.0,4.2,0.3,4.1,0.14800000000000002,-2.7,-0.2
